date,portfolio_equity,benchmark_equity,portfolio_drawdown_pct,benchmark_drawdown_pct
2023-07-24,10000.0,10000.0,0.0,0.0
2023-07-25,10077.86,10027.3,0.0,0.0
2023-07-26,10072.13,10028.84,-0.057,0.0
2023-07-27,9979.32,9962.35,-0.978,-0.663
2023-07-28,10167.56,10059.89,0.0,0.0
2023-07-31,10190.77,10079.04,0.0,0.0
2023-08-01,10141.96,10050.2,-0.479,-0.286
2023-08-02,9850.5,9910.39,-3.339,-1.673
2023-08-03,9884.96,9881.99,-3.001,-1.955
2023-08-04,9860.68,9837.3,-3.239,-2.398
2023-08-07,9890.0,9923.16,-2.951,-1.547
2023-08-08,9816.3,9880.01,-3.675,-1.975
2023-08-09,9649.25,9813.96,-5.314,-2.63
2023-08-10,9636.84,9817.48,-5.436,-2.595
2023-08-11,9540.71,9811.76,-6.379,-2.652
2023-08-14,9692.03,9865.92,-4.894,-2.115
2023-08-15,9611.25,9750.99,-5.687,-3.255
2023-08-16,9481.49,9679.44,-6.96,-3.965
2023-08-17,9393.07,9605.68,-7.828,-4.696
2023-08-18,9366.61,9610.3,-8.087,-4.651
2023-08-21,9599.62,9672.83,-5.801,-4.03
2023-08-22,9572.38,9646.63,-6.068,-4.29
2023-08-23,9789.09,9754.07,-3.942,-3.224
2023-08-24,9581.49,9618.89,-5.979,-4.565
2023-08-25,9622.9,9686.7,-5.572,-3.893
2023-08-28,9680.18,9748.13,-5.01,-3.283
2023-08-29,9960.96,9889.03,-2.255,-1.885
2023-08-30,10020.32,9929.77,-1.673,-1.481
2023-08-31,10022.44,9915.24,-1.652,-1.625
2023-09-01,9970.52,9933.73,-2.161,-1.442
2023-09-05,10033.79,9890.8,-1.54,-1.868
2023-09-06,9891.32,9824.31,-2.938,-2.527
2023-09-07,9803.18,9794.14,-3.803,-2.827
2023-09-08,9801.15,9808.9,-3.823,-2.68
2023-09-11,9918.3,9873.4,-2.674,-2.04
2023-09-12,9823.06,9819.24,-3.608,-2.578
2023-09-13,9898.18,9830.69,-2.871,-2.464
2023-09-14,9936.68,9915.46,-2.493,-1.623
2023-09-15,9782.1,9795.99,-4.01,-2.808
2023-09-18,9788.72,9801.74,-3.945,-2.751
2023-09-19,9767.48,9781.41,-4.154,-2.953
2023-09-20,9607.48,9691.49,-5.724,-3.845
2023-09-21,9406.25,9531.3,-7.698,-5.434
2023-09-22,9381.08,9509.87,-7.945,-5.647
2023-09-25,9406.27,9549.86,-7.698,-5.25
2023-09-26,9282.06,9409.56,-8.917,-6.642
2023-09-27,9296.66,9413.32,-8.774,-6.605
2023-09-28,9414.71,9467.89,-7.615,-6.064
2023-09-29,9428.7,9444.91,-7.478,-6.292
2023-10-02,9512.89,9441.16,-6.652,-6.329
2023-10-03,9333.52,9314.78,-8.412,-7.583
2023-10-04,9533.0,9382.6,-6.455,-6.91
2023-10-05,9532.7,9379.07,-6.457,-6.945
