symbol,growth_rate,discount_rate,is_base_case,intrinsic_value_per_share,upside_downside_pct
BLK,0.0549,0.0988,False,413.02,-60.91
BLK,0.0549,0.1088,False,352.57,-66.63
BLK,0.0549,0.1188,False,307.48,-70.9
BLK,0.0549,0.1288,False,272.56,-74.2
BLK,0.0549,0.1388,False,244.73,-76.84
BLK,0.0649,0.0988,False,431.0,-59.21
BLK,0.0649,0.1088,False,367.66,-65.2
BLK,0.0649,0.1188,False,320.43,-69.67
BLK,0.0649,0.1288,False,283.86,-73.14
BLK,0.0649,0.1388,False,254.71,-75.89
BLK,0.0749,0.0988,False,449.64,-57.45
BLK,0.0749,0.1088,False,383.3,-63.72
BLK,0.0749,0.1188,True,333.84,-68.4
BLK,0.0749,0.1288,False,295.56,-72.03
BLK,0.0749,0.1388,False,265.04,-74.92
BLK,0.0849,0.0988,False,468.94,-55.62
BLK,0.0849,0.1088,False,399.5,-62.19
BLK,0.0849,0.1188,False,347.73,-67.09
BLK,0.0849,0.1288,False,307.66,-70.88
BLK,0.0849,0.1388,False,275.74,-73.9
BLK,0.0949,0.0988,False,488.93,-53.73
BLK,0.0949,0.1088,False,416.27,-60.6
BLK,0.0949,0.1188,False,362.1,-65.73
BLK,0.0949,0.1288,False,320.19,-69.7
BLK,0.0949,0.1388,False,286.8,-72.86
